,movieid,openDt,title,genre
0,1,1990,빽투더퓨쳐3,SF
1,2,1990,빽투더퓨쳐2,SF
2,3,1990,파리의여인,드라마
3,4,1990,끌로드부인,드라마
4,5,1990,죽은시인의사회,드라마
5,6,1990,황금광시대,어드벤처
6,7,1990,써커스,드라마
7,8,1990,살인광시대,드라마
8,9,1990,뉴욕의왕,코미디
9,10,1990,있잖아요비밀이에요,드라마
10,11,1990,시네마천국,드라마
11,12,1990,파업전야,드라마
12,13,1990,영심이,드라마
13,14,1990,꿈,멜로/로맨스
14,15,1990,우묵배미의사랑,멜로/로맨스
15,16,1990,아비정전,멜로/로맨스
16,17,1990,드라이빙미스데이지,드라마
17,18,1990,베어,드라마
18,19,1990,비정성시,드라마
19,20,1990,국두,드라마
20,21,1990,불같은약속,범죄
21,22,1990,콘돌,드라마
22,23,1990,사랑과영혼,드라마
23,24,1990,천장지구,액션
24,25,1990,미스틱피자,드라마
25,26,1990,여군외출,드라마
26,27,1990,홍두깨,멜로/로맨스
27,28,1990,마유미,드라마
28,29,1990,니키타,액션
29,30,1990,남부군,드라마
30,31,1990,코쿤,SF
31,32,1990,장군의아들,드라마
32,33,1990,추락하는것은날개가있다,멜로/로맨스
33,34,1990,그들도우리처럼,드라마
34,35,1990,나의사랑나의신부,드라마
35,36,1990,비오는날수채화,드라마
36,37,1990,땡칠이와쌍라이트,SF
37,38,1990,하이랜더,SF
38,39,1990,소오강호,SF
39,40,1990,단지그대가여자라는이유만으로,드라마
40,41,1990,누가붉은장미를꺾었나,드라마
41,42,1990,흑우블랙레인,드라마
42,43,1990,첩혈가두,액션
43,44,1990,천녀유혼2인간도,공포(호러)
44,45,1990,배트맨,액션
45,46,1990,마르셀리노,드라마
46,47,1990,누가로저래빗을모함했나,가족
47,48,1990,지존본색,액션
48,49,1990,닌자거북이,액션
49,50,1990,섹스거짓말그리고비디오테이프,드라마
50,51,1990,가면속의아리아,드라마
51,52,1990,모스키토코스트,드라마
52,53,1990,꼴찌부터일등까지우리반을찾습니다,드라마
53,54,1990,흑사회,드라마
54,55,1990,홍콩연자,멜로/로맨스
55,56,1990,나이트메어비치,공포(호러)
56,57,1990,프랜서,드라마
57,58,1990,포키스,코미디
58,59,1990,강시오복성,공포(호러)
59,60,1990,개인교수2,코미디
60,61,1990,패왕화,액션
61,62,1990,검은도시,범죄
62,63,1990,경천12시,액션
63,64,1990,공작왕2아수라,액션
64,65,1990,관동여협,액션
65,66,1990,구룡대부,액션
66,67,1990,구천동화방,사극
67,68,1990,귀신은사랑을못해,공포(호러)
68,69,1990,귀여운여도적,드라마
69,70,1990,귀여운여인,드라마
70,71,1990,그대눈물이마를때,멜로/로맨스
71,72,1990,그래가끔하늘을보자,드라마
72,73,1990,죽음의승부,액션
73,74,1990,금지된춤,드라마
74,75,1990,토탈리콜,SF
75,76,1990,꼭지딴,드라마
76,77,1990,꽃지,가족
77,78,1990,꿈꾸는식물,멜로/로맨스
78,79,1990,아팟치,액션
79,80,1990,신문,드라마
80,81,1990,소쩍궁탐정,전쟁
81,82,1990,사탄,공포(호러)
82,83,1990,청부살인,액션
83,84,1990,첫사랑,드라마
84,85,1990,마담엠마,액션
85,86,1990,라스트지고로,드라마
86,87,1990,용소자,액션
87,88,1990,대호출격2,액션
88,89,1990,너는나의황홀한지옥,멜로/로맨스
89,90,1990,뉴욕세남자와아기,코미디
90,91,1990,고스트바스터즈2,SF
91,92,1990,복수,액션
92,93,1990,슈퍼맨4,SF
93,94,1990,연분,드라마
94,95,1990,귀타귀90,공포(호러)
95,96,1990,에디,드라마
96,97,1990,폭풍의질주,드라마
97,98,1990,집시,드라마
98,99,1990,카르멘90,뮤지컬
99,100,1990,워킹걸,드라마
100,101,1991,붉은사랑,드라마
101,102,1991,베로니카의이중생활,드라마
102,103,1991,나홀로집에,가족
103,104,1991,서울에비타,드라마
104,105,1991,늑대와춤을,서부극(웨스턴)
105,106,1991,부활의노래,드라마
106,107,1991,신정무문,코미디
107,108,1991,르네의사생활,드라마
108,109,1991,터미네이터23D,액션
109,110,1991,양들의침묵,스릴러
110,111,1991,의적로빈후드,액션
111,112,1991,장군의아들2,드라마
112,113,1991,종횡사해,액션
113,114,1991,비엔나호텔의야간배달부,드라마
114,115,1991,신경쇠약직전의여자,코미디
115,116,1991,산딸기4,사극
116,117,1991,사랑의기적,드라마
117,118,1991,폭풍속으로,액션
118,119,1991,닉크,멜로/로맨스
119,120,1991,델타포스2,액션
120,121,1991,더블반담,액션
121,122,1991,멤피스벨,액션
122,123,1991,인어공주,애니메이션
123,124,1991,아무도모르게,드라마
124,125,1991,아들나라,드라마
125,126,1991,나의왼발,드라마
126,127,1991,은마는오지않는다,드라마
127,128,1991,별이빛나는밤에,드라마
128,129,1991,너에게로또다시,멜로/로맨스
129,130,1991,경마장가는길,드라마
130,131,1991,누가용의발톱을보았는가,드라마
131,132,1991,사의찬미,드라마
132,133,1991,수잔브링크의아리랑,드라마
133,134,1991,혼자도는바람개비,드라마
134,135,1991,열아홉의절망끝에부르는하나의사랑노래,드라마
135,136,1991,도범2,액션
136,137,1991,용형호제2,코미디
137,138,1991,중환영웅,코미디
138,139,1991,황비홍,액션
139,140,1991,천녀유혼3도도도,드라마
140,141,1991,가위손,드라마
141,142,1991,화소도,액션
142,143,1991,엘리게이터2,공포(호러)
143,144,1991,펜트하우스의칼리귤라,드라마
144,145,1991,게이트2,공포(호러)
145,146,1991,개벽,드라마
146,147,1991,귀여운짐승들내가쏘았다,멜로/로맨스
147,148,1991,가디안,공포(호러)
148,149,1991,겨울꿈은날지않는다,멜로/로맨스
149,150,1991,고금소총2,성인물(에로)
150,151,1991,겨울54,드라마
151,152,1991,꿈의구장,드라마
152,153,1991,강시와부시맨,코미디
153,154,1991,그렘린2뉴욕대소동,코미디
154,155,1991,괴마천사,멜로/로맨스
155,156,1991,격정,멜로/로맨스
156,157,1991,귀호,액션
157,158,1991,광란의시간,스릴러
158,159,1991,군자호구,멜로/로맨스
159,160,1991,귀타여걸,액션
160,161,1991,개목걸이,액션
161,162,1991,결혼하는남자,코미디
162,163,1991,귀경출사,코미디
163,164,1991,궁둥이에총을쏜남자,코미디
164,165,1991,강시지존,공포(호러)
165,166,1991,끌로드부인2,드라마
166,167,1991,골빈사나이,코미디
167,168,1991,개심귀,공포(호러)
168,169,1991,갈마,드라마
169,170,1991,검은휘파람,범죄
170,171,1991,끼있는여자는밤이슬을좋아한다,드라마
171,172,1991,꽃그늘속에부는바람,드라마
172,173,1991,해리가한껀잡았을때,액션
173,174,1991,하바나,드라마
174,175,1991,파워게임,액션
175,176,1991,라우라,드라마
176,177,1991,광란의사랑,드라마
177,178,1991,코끝에걸린사나이,액션
178,179,1991,산산이부서진이름이여,드라마
179,180,1991,변신전사트렌스토디,SF
180,181,1991,지존여장,액션
181,182,1991,만종,드라마
182,183,1991,이탈자,액션
183,184,1991,위험한사랑,드라마
184,185,1991,오호장,액션
185,186,1991,열일곱살의쿠데타,드라마
186,187,1991,겨울애마봄,성인물(에로)
187,188,1991,글로리아,전쟁
188,189,1991,굿바이뉴욕굿모닝내사랑,코미디
189,190,1991,어허어이어이가리,드라마
190,191,1991,눈물의웨딩드레스,드라마
191,192,1991,아마조니아,드라마
192,193,1991,사랑을위하여,멜로/로맨스
193,194,1991,집시엔젤,드라마
194,195,1991,지존애림,드라마
195,196,1991,좋은친구들,드라마
196,197,1991,할로윈데이,공포(호러)
197,198,1991,애욕의쟌다리,멜로/로맨스
198,199,1991,샤샤를위하여,드라마
199,200,1991,신칠용주,액션
200,201,1992,토토의천국,드라마
201,202,1992,가유희사,드라마
202,203,1992,빠담풍,드라마
203,204,1992,마농의샘,드라마
204,205,1992,마돈나진실혹은대담,드라마
205,206,1992,쉘부르의우산,멜로/로맨스
206,207,1992,알라딘,애니메이션
207,208,1992,우리들의일그러진영웅,드라마
208,209,1992,하이힐,드라마
209,210,1992,보디가드,멜로/로맨스
210,211,1992,산딸기5,드라마
211,212,1992,세상의모든아침,드라마
212,213,1992,환생,스릴러
213,214,1992,신부의아버지,가족
214,215,1992,벅시,드라마
215,216,1992,인도차이나,드라마
216,217,1992,사랑의행로,드라마
217,218,1992,가슴에돋는칼로슬픔을자르고,드라마
218,219,1992,미녀와야수,애니메이션
219,220,1992,사랑의용기,멜로/로맨스
220,221,1992,세상은살만큼아름답다,드라마
221,222,1992,라스트모히칸,전쟁
